Paso,Desde,→,Hasta,Distancia (km)
1,EL CARMEN,→,VILLANUEVA,274.06
2,VILLANUEVA,→,PINILLOS,197.21
3,PINILLOS,→,EL SANTUARIO,320.89
4,EL SANTUARIO,→,SAN LUIS,29.23
5,SAN LUIS,→,PALOCABILDO,103.44
6,PALOCABILDO,→,JAMUNDÍ,274.87
7,JAMUNDÍ,→,ISNOS,149.46
8,ISNOS,→,SANTIAGO,134.34
9,SANTIAGO,→,PUERTO LEGUÍZAMO,238.79
10,PUERTO LEGUÍZAMO,→,ANAPOIMA,504.0
11,ANAPOIMA,→,TUNUNGUÁ,144.25
12,TUNUNGUÁ,→,SOCORRO,113.03
13,SOCORRO,→,EL COCUY,91.97
14,EL COCUY,→,PAMPLONA,117.52
15,PAMPLONA,→,EL CARMEN,181.24
